Count	Course_code(2020_All_Term)	Enrol_precentage	Enrol_number	Lec/Web/Prj/Thesis	Course_name
1	ECON1101  	0%	0/484	3094/4713	Microeconomics 1	
2	MGMT1001  	0%	0/333	2348/3272	Managing Organisations&People	
3	ACCT1501  	0%	1/195	2222/2709	Accounting & Financial Mgt 1A	
4	MATH1231  	0%	0/534	2074/2825	Mathematics 1B	
5	MATH1131  	0%	1/387	2066/2962	Mathematics 1A	
6	COMP1511  	0%	0/244	1905/2123	Programming Fundamentals	
7	PSYC1001  	0%	0/306	1899/3271	Psychology 1A	
8	FINS1613  	0%	0/291	1840/2656	Business Finance	
9	ACCT1511  	0%	1/176	1555/1893	Accounting & Financial Mgt 1B	
10	MATH1081  	0%	0/468	1493/2140	Discrete Mathematics	
11	ECON1203  	0%	0/282	1443/1809	Business & Economic Statistics	
12	COMP2521  	0%	0/281	1426/1674	Data Structures and Algorithms	
13	COMP1521  	0%	0/111	1394/1484	Computer Systems Fundamentals	
14	FINS1612  	0%	0/585	1379/1950	Capital Markets & Institution	
15	ECON1102  	0%	0/231	1314/1537	Macroeconomics 1	
16	FINS2624  	0%	0/223	1220/1812	Portfolio Mgmt	
17	MATH1041  	0%	0/171	1212/1570	Stats for Life & Soc Sciences	
18	FINS3616  	0%	0/389	1211/1792	International Business Finance	
19	ENGG1000  	0%	0/1054	1191/2242	Engineering Design	
20	COMP1531  	0%	0/115	1160/1270	Software Eng Fundamentals	
21	COMP9444  	0%	0/59	1078/1211	Neural Networks, Deep Learning	
22	PHYS1160  	0%	1/1465	1073/1620	Introduction to Astronomy	
23	ENGG4999  	0%	1/11268	1061/21498	Industrial Training	
24	GENS1111  	0%	1/612	1011/1600	Big Fat Myths	
25	BABS1201  	0%	0/251	982/1318	Molecules, Cells and Genes	
26	MATH2089  	0%	0/319	979/1352	Numerical Methods & Statistics	
27	COMP3311  	0%	0/88	971/1053	Database Systems	
28	FINS3630  	0%	0/707	937/1265	Bank Financial Management	
29	MGMT1101  	0%	0/132	935/1060	Global Business Environment	
30	COMP2511  	0%	0/101	906/1000	O-O Design & Programming	
