         5600 function calls (5447 primitive calls) in 21.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   21.623   21.623 /home/jerry/.local/lib/python3.8/site-packages/flask/app.py:889(run)
        1    0.000    0.000   21.594   21.594 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/serving.py:876(run_simple)
        1    0.000    0.000   21.327   21.327 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:325(run_with_reloader)
        1    0.000    0.000   21.327   21.327 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_reloader.py:160(restart_with_reloader)
        1    0.000    0.000   21.326   21.326 /usr/lib/python3.8/subprocess.py:332(call)
        1    0.000    0.000   21.322   21.322 /usr/lib/python3.8/subprocess.py:1074(wait)
        2    0.001    0.000   21.322   10.661 /usr/lib/python3.8/subprocess.py:1772(_wait)
       11    0.000    0.000   21.104    1.919 /usr/lib/python3.8/subprocess.py:1759(_try_wait)
       11   21.104    1.919   21.104    1.919 {built-in method posix.waitpid}
     14/3    0.000    0.000    0.284    0.095 <frozen importlib._bootstrap>:986(_find_and_load)
     14/3    0.000    0.000    0.284    0.095 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     12/3    0.000    0.000    0.282    0.094 <frozen importlib._bootstrap>:650(_load_unlocked)
     11/3    0.000    0.000    0.281    0.094 <frozen importlib._bootstrap_external>:777(exec_module)
       11    0.001    0.000    0.258    0.023 <frozen importlib._bootstrap_external>:849(get_code)
       11    0.001    0.000    0.252    0.023 <frozen importlib._bootstrap_external>:969(get_data)
       11    0.250    0.023    0.250    0.023 {built-in method io.open_code}
     14/3    0.000    0.000    0.226    0.075 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     11/3    0.000    0.000    0.226    0.075 {built-in method builtins.exec}
        1    0.000    0.000    0.223    0.223 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/__init__.py:2(<module>)
        9    0.217    0.024    0.217    0.024 {built-in method time.sleep}
        1    0.000    0.000    0.166    0.166 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/console.py:2(<module>)
      5/4    0.000    0.000    0.023    0.006 {built-in method builtins.__import__}
        1    0.000    0.000    0.022    0.022 /home/jerry/.local/lib/python3.8/site-packages/flask/app.py:884(debug)
        1    0.000    0.000    0.022    0.022 /home/jerry/.local/lib/python3.8/site-packages/flask/helpers.py:951(__get__)
        1    0.000    0.000    0.022    0.022 /home/jerry/.local/lib/python3.8/site-packages/flask/app.py:681(jinja_env)
        1    0.000    0.000    0.022    0.022 /home/jerry/.local/lib/python3.8/site-packages/flask/app.py:761(create_jinja_environment)
        1    0.000    0.000    0.022    0.022 /home/jerry/.local/lib/python3.8/site-packages/flask/templating.py:42(__init__)
        1    0.000    0.000    0.022    0.022 /usr/lib/python3/dist-packages/jinja2/environment.py:264(__init__)
        1    0.000    0.000    0.022    0.022 /usr/lib/python3/dist-packages/jinja2/environment.py:78(load_extensions)
        2    0.000    0.000    0.022    0.011 /usr/lib/python3/dist-packages/jinja2/utils.py:128(import_string)
        1    0.000    0.000    0.021    0.021 /usr/lib/python3.8/code.py:1(<module>)
       13    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:890(_find_spec)
       13    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1334(find_spec)
       13    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1302(_get_spec)
        1    0.000    0.000    0.007    0.007 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/debug/tbtools.py:2(<module>)
       24    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        5    0.000    0.000    0.006    0.001 /usr/lib/python3.8/re.py:250(compile)
        5    0.000    0.000    0.006    0.001 /usr/lib/python3.8/re.py:289(_compile)
        1    0.000    0.000    0.006    0.006 /home/jerry/.local/lib/python3.8/site-packages/flask/cli.py:657(show_server_banner)
        5    0.000    0.000    0.006    0.001 /usr/lib/python3.8/sre_compile.py:759(compile)
        9    0.006    0.001    0.006    0.001 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.000    0.000    0.006    0.001 /usr/lib/python3/dist-packages/click/utils.py:167(echo)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.8/subprocess.py:732(__init__)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.8/subprocess.py:1550(_execute_child)
        2    0.000    0.000    0.004    0.002 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/_internal.py:94(_log)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.8/subprocess.py:1511(_posix_spawn)
        1    0.003    0.003    0.003    0.003 {built-in method posix.posix_spawn}
       11    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
       56    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        5    0.000    0.000    0.003    0.001 /usr/lib/python3.8/sre_parse.py:937(parse)
       52    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
       11    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
     13/5    0.000    0.000    0.003    0.001 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
       30    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.003    0.003 /home/jerry/.local/lib/python3.8/site-packages/werkzeug/serving.py:973(log_startup)
     18/7    0.001    0.000    0.003    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.8/getpass.py:1(<module>)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3/dist-packages/click/termui.py:464(secho)
        5    0.000    0.000    0.002    0.000 /usr/lib/python3.8/sre_compile.py:598(_code)
      128    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/jinja2/ext.py:2(<module>)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.8/logging/__init__.py:1424(info)
     27/5    0.001    0.000    0.002    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.8/logging/__init__.py:1553(_log)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       16    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
